"name","city","province","hotel_rating","absolute"
"Hotel Roc Flamingo","Abbeville","SC",3,3
"Hotel Roc Lago Rojo","Abbeville","SC",3.5,2
"Hotel Russo Palace","Mableton","GA",2.2,5
"Hotel Vorbach","Ashburn","VA",2,2
"Howard Johnson Inn - Newburgh","Newburgh","NY",2.87234042553191,47
"Howard Johnson Inn Columbia","Columbia","Elkhurst",3.4,5
"Hyatt Centric Arlington","Arlington","VA",1,1
"Hyatt Dulles","Herndon","VA",2.33333333333333,3
"Hyatt House Colorado Springs","Colorado Springs","Co Spgs",3,8
"Hyatt Place Pittsburgh Cranberry","Cranberry Twp","PA",2.75,4
"Hyatt Place San Antonio Airport - Quarry Market","San Antonio","TX",4,2
"Hyatt Place Utica","Utica","MI",3.5,2
"Hyatt Regency Kathmandu","Alliance","OH",3.16666666666667,6
"H��tel Les Bruy��res","Lebanon","OK",3,2
"H��tel Sezz Paris","Irving","TX",3,1
"Ibis Wuerzburg City","Gresham","OR",1.66666666666667,3
"Inn At Mendenhall","Mendenhall","PA",4.5,4
"Innisbrook","Palm Harbor","FL",5,2
"Inter-hotel Orl��ans Nord","Portland","OH",2.75,8
"Inturotel Esmeralda Park","Ridgefield Park","NJ",4.33333333333333,3
"La Quinta Inn and Suites Hopkinsville","Hopkinsville","KY",3,3
"La Quinta Inn and Suites Meridian","Meridian","Meeham",2.57142857142857,7
"La Quinta Inn and Suites Miami Cutler Bay","Miami","Cutler Ridge",3.25,4
"La Quinta Inn and Suites Sunrise","Fort Lauderdale","Plantation",3.15384615384615,13
"La Quinta Inn and Suites Tucson - Reid Park","Tucson","AZ",3.5,4
"La Quinta Inn Auburn Worcester","Auburn","MA",3.41176470588235,17
"Lakeway Resort & Spa","Austin","Lakeway",3.75,8
"Lamothe House","New Orleans","LA",3.875,8
"Mandarin Oriental Jakarta","Staten Island","NY",3.14285714285714,7
"Marriott Springhill Marina","Marina","CA",4,1
"Marriott's Mountainside At Park City","Park City","UT",3.5,4
"Mccamly Plaza Hotel","Battle Creek","MI",2.5,4
"Melia Paris Champs-elys��es","Irving","TX",3.75,4
"Mercure Curitiba Golden Hotel","Curitiba","PR",2.5,6
"Microtel Inn By Wyndham Knoxville","Knoxville","Concord Farragut",2.57142857142857,7
"Miramar Boutique Hotel","Manassas","VA",4,1
"Monarch Inn","Mariposa","CA",4,4
"Monterey Beach Dunes Inn","Marina","CA",2.85714285714286,7
"Motel 6 Fort Bragg","Fort Bragg","Inglenook",3,1
"Mountain Lodge At Telluride - A Noble House Resort","Telluride","Pandora",3.41666666666667,12
